"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"38","Legend",416,142,0.341346153846154,0.00961538461538462,0.0144230769230769,0.00240384615384615,0.00961538461538462,0.0144230769230769,0.0168269230769231,0.0264423076923077,0.00480769230769231,0.00480769230769231,0.0168269230769231,"IYRTITL",0.563,0.0776,100.093,0.071,0.0269,0,4,0.712,1,241853,-7.573,0.299,1,"New Drake"
"39","Lose You",800,378,0.4725,0.0125,0.0125,0.01,0.00875,0.01,0.025,0.035,0.01125,0.00625,0.02125,"More Life",0.583,0.372,89.835,0.376,0.699,0,4,0.526,4,305374,-9.172,0.378,1,"New Drake"
"40","Madiba Riddim",304,112,0.368421052631579,0.00657894736842105,0.0197368421052632,0.00328947368421053,0.00986842105263158,0.0263157894736842,0.00986842105263158,0.0427631578947368,0.00328947368421053,0.00986842105263158,0.0296052631578947,"More Life",0.521,0.607,105.992,0.166,0.245,0.00545,4,0.839,7,205163,-10.45,0.33,1,"New Drake"
"41","Madonna",344,148,0.430232558139535,0.0116279069767442,0.0145348837209302,0.00581395348837209,0.00872093023255814,0.00290697674418605,0.0203488372093023,0.0116279069767442,0.00581395348837209,0.00290697674418605,0.00581395348837209,"IYRTITL",0.506,0.371,110.017,0.0588,0.0149,3.56e-05,4,0.905,2,177840,-8.598,0.122,1,"New Drake"
"42","March 14",561,262,0.467023172905526,0.0124777183600713,0.0196078431372549,0.0089126559714795,0.0160427807486631,0.0196078431372549,0.0249554367201426,0.0320855614973262,0.0142602495543672,0.0071301247771836,0.0267379679144385,"Scorpion",0.419,0.36,91.963,0.39,0.4,0,4,0.5,10,309560,-7.349,0.313,0,"New Drake"
"43","Nice for What",1011,202,0.199802176063304,0.0039564787339268,0.0029673590504451,0.0039564787339268,0.0039564787339268,0.0039564787339268,0.00890207715133531,0.00791295746785361,0.00593471810089021,0.000989119683481701,0.0039564787339268,"Scorpion",0.909,0.0778,93.469,0.0628,0.0884,0.000114,4,0.7,8,210747,-6.461,0.757,1,"New Drake"
"44","Nonstop",695,248,0.356834532374101,0.0129496402877698,0.0115107913669065,0.00863309352517986,0.0100719424460432,0.0100719424460432,0.0201438848920863,0.0215827338129496,0.00719424460431655,0.0100719424460432,0.0129496402877698,"Scorpion",0.405,0.105,154.984,0.14,0.0306,0.00698,4,0.909,6,238613,-8.133,0.455,0,"New Drake"
"45","Nothings Into Somethings",157,84,0.535031847133758,NA,0.0254777070063694,NA,NA,0.0191082802547771,0.0191082802547771,0.0445859872611465,0.00636942675159236,0.0127388535031847,0.0318471337579618,"More Life",0.234,0.358,96.882,0.159,0.332,0.00156,4,0.766,11,153725,-7.544,0.256,0,"New Drake"
"46","Now & Forever",496,104,0.209677419354839,0.00604838709677419,0.00403225806451613,0.00403225806451613,0.00806451612903226,0.00201612903225806,0.0120967741935484,0.00403225806451613,0.00403225806451613,NA,0.00604838709677419,"IYRTITL",0.481,0.101,107.806,0.0322,0.124,0,4,0.555,10,281320,-7.419,0.0981,0,"New Drake"
"47","One Dance",415,116,0.279518072289157,0.00481927710843374,0.00963855421686747,0.00240963855421687,0.00481927710843374,0.0144578313253012,0.00481927710843374,0.0240963855421687,0.00240963855421687,0.00481927710843374,0.0144578313253012,"Views",0.619,0.351,103.989,0.0532,0.00784,0.00423,4,0.791,1,173987,-5.886,0.371,1,"New Drake"
"48","Passionfruit",239,112,0.468619246861925,0.0167364016736402,0.0167364016736402,0.00836820083682008,0.00836820083682008,0.00418410041841004,0.0292887029288703,0.0125523012552301,0.00418410041841004,0.00418410041841004,0.0125523012552301,"More Life",0.463,0.109,111.98,0.0396,0.256,0.085,4,0.809,11,298941,-11.377,0.364,1,"New Drake"
"49","Peak",263,155,0.5893536121673,0.00760456273764259,0.0228136882129278,0.00380228136882129,0.0152091254752852,0.0152091254752852,0.0342205323193916,0.0532319391634981,0.0152091254752852,0.0114068441064639,0.0228136882129278,"Scorpion",0.217,0.106,92.007,0.0387,0.847,0.000123,4,0.689,9,206027,-13.539,0.272,0,"New Drake"
