energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.674,0.138,143.067,0.16399999999999998,0.20199999999999999,1.22e-05,4,0.6940000000000001,0,241867,-4.9910000000000005,0.46,0,audio_features,spotify:track:4rdPNHlIYUbSfa4iuQ7ccz,Mr. Wrong,Mary J. Blige,My Life II...The Journey Continues (Act 1),0.3000019710089711
0.47700000000000004,0.58,82.046,0.183,0.168,0.0,4,0.632,0,236360,-5.8020000000000005,0.433,0,audio_features,spotify:track:5Ggfa9cpkpfp5D6Rg0Yyw1,Come Thru,Drake,Nothing Was The Same (Deluxe),0.30568761852166393
0.619,0.35100000000000003,103.98899999999999,0.0532,0.00784,0.004229999999999999,4,0.7909999999999999,1,173987,-5.886,0.371,1,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,Views,0.31000213914127434
0.7140000000000001,0.408,140.001,0.243,0.39,0.0,4,0.735,9,185156,-5.797999999999999,0.879,0,audio_features,spotify:track:369B02oQm5ljWvVvDwTiv1,In My Business (Feat. Drake & Sean Garrett),Gucci Mane,Guccimerica,0.3108206308059542
0.36200000000000004,0.111,135.797,0.048,0.139,2.8300000000000003e-05,4,0.522,1,314632,-10.827,0.17,1,audio_features,spotify:track:1sJU5QlgpMaORYwMi1DR9o,Diamonds Dancing,Drake,What A Time To Be Alive,0.314934821347153
0.738,0.28600000000000003,143.161,0.07200000000000001,0.0112,0.0,4,0.6709999999999999,10,248227,-5.327999999999999,0.212,0,audio_features,spotify:track:4hjloKONMQyJHOmSzAwuAq,Tony Montana,Future,Pluto,0.3298454249393839
0.674,0.12,105.096,0.0499,0.0644,1.83e-05,4,0.8959999999999999,10,219227,-6.89,0.516,0,audio_features,spotify:track:1H6FVVPoDB5R9SOkPLW2zz,Truffle Butter,Nicki Minaj,Truffle Butter,0.3341579642349099
0.7120000000000001,0.198,156.209,0.27,5.2000000000000004e-05,0.0,4,0.48700000000000004,8,212613,-7.3229999999999995,0.397,1,audio_features,spotify:track:1D9XLqQp2YYiOxrr5KLb8K,Under Ground Kings,Drake,Take Care (Deluxe),0.340897303393155
0.84,0.87,159.939,0.311,0.0291,0.0,4,0.38,1,278067,-4.5280000000000005,0.387,0,audio_features,spotify:track:4tE0wFfKP06mkDjTNM5BlN,Good Girls Go Bad,The Game,The R.E.D. Album,0.3512805427763833
0.872,0.107,156.109,0.11900000000000001,0.0951,0.0,4,0.562,4,213813,-5.1080000000000005,0.07200000000000001,0,audio_features,spotify:track:0XhOgqDKTQJhGfD1WBuTdC,Unforgettable,Drake,Thank Me Later (Int'l Version),0.3547427419848315
0.235,0.107,99.906,0.0541,0.618,0.000144,4,0.69,7,320400,-8.651,0.37799999999999995,1,audio_features,spotify:track:7cTrekacPXjNTQuEJGN4Ee,Jungle,Drake,If You're Reading This It's Too Late,0.3549702111744564
0.7559999999999999,0.162,89.45299999999999,0.35600000000000004,0.434,0.0,4,0.52,0,313267,-6.472,0.5329999999999999,1,audio_features,spotify:track:4pUUhsc8fmZqnsPaOSU5CP,Fireworks,Drake,Thank Me Later (Int'l Version),0.3561126223851053
0.619,0.31,152.105,0.231,0.0546,0.0,4,0.615,1,261267,-6.567,0.521,1,audio_features,spotify:track:0wjMiGwoS77eWwhsMfHAvy,4 My Town (Play Ball),Birdman,Pricele$$ (UK Deluxe Edition Explicit),0.36975781659652307
