energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album
0.571,0.153,103.521,0.2,0.0173,1.11e-06,4,0.916,10,183695,-8.241,0.498,0,audio_features,spotify:track:0lDBERpbbSfh3og8dSszfj,For Free,DJ Khaled,For Free
0.925,0.174,104.855,0.35,0.248,0.0,5,0.459,5,357920,-1.327,0.533,0,audio_features,spotify:track:0Bpkq4z0VfjkO7kUME8gks,Forever,Drake,Forever
0.491,0.571,141.979,0.439,0.0681,0.0,4,0.736,10,218674,-6.892,0.203,0,audio_features,spotify:track:3LBBQH0CWnrG3kSvSmzArK,Free Smoke,Drake,More Life
0.623,0.462,98.918,0.365,0.281,0.0,5,0.57,1,231210,-7.852,0.28,1,audio_features,spotify:track:7KYvXOlM9mDAfUGZ322WZo,Free Spirit,Empire,Power 16
0.509,0.127,91.632,0.475,0.633,0.0,4,0.564,1,322160,-9.727,0.388,0,audio_features,spotify:track:2WC4sK0ryyysQhtDok9Ytr,From Time,Drake,Nothing Was The Same (Deluxe)
0.772,0.0574,137.083,0.148,0.148,0.0,4,0.549,9,267373,-5.292,0.249,0,audio_features,spotify:track:6s64FyS9n0XYbGMLH3LOWU,Furthest Thing,Drake,Nothing Was The Same (Deluxe)
0.721,0.104,123.011,0.0514,0.0945,0.391,4,0.781,5,250337,-9.133,0.849,0,audio_features,spotify:track:5WHVJ7MILL1r5xs8hDfJ4i,Get It Together,Drake,More Life
0.376,0.101,126.913,0.408,0.743,0.0,4,0.632,11,225776,-14.209,0.537,0,audio_features,spotify:track:2zotpumS699VgoHFJuUdeY,Girls Love Beyonce,Champagne Pa,Even Closer To My Dreams
0.384,0.708,162.097,0.375,0.2,0.0,4,0.688,9,206120,-8.824,0.432,0,audio_features,spotify:track:1kLsyb2tgz9N5Qkr6QAK3t,Glow,Drake,More Life
0.449,0.55,77.167,0.108,0.0329,7.84e-05,4,0.754,7,198973,-9.212,0.35,1,audio_features,spotify:track:2VWbHHhWnMzKWPUs4IEEW9,God's Plan,Drake,Scorpion
0.642,0.389,83.246,0.321,0.131,0.0,4,0.528,1,149577,-8.156,0.725,1,audio_features,spotify:track:4md7eAD6z2V4HJmQ3n4ZAI,Going In For Life,Champagne Pa,Closer To My Dreams
0.745,0.0823,148.042,0.25,0.0311,0.0,4,0.715,9,262440,-5.71,0.687,1,audio_features,spotify:track:5r25QBiGwvvKCmMGO4LmHI,Gonorrhea,Lil Wayne,I Am Not A Human Being
